Œuvre,Compositeur,Rôle,Type,Année(s),Lieu(x),Langue
"La Traviata","Verdi","Flora Bervoix","Opéra","2024-2025","Opéra de Metz, Opéra de Reims","Italien"
"Les Contes d'Hoffmann","Offenbach","La Muse/Nicklausse","Opéra","2024","Opéra de Metz","Français"
"Carmen","Bizet","Mercedes","Opéra","2023-2024","Opéra de Lille, Opéra de Rouen","Français"
"La Gioconda","Ponchielli","Laura Adorno","Opéra","2024","Opéra de Metz","Italien"
"La Cenerentola","Rossini","Tisbe","Opéra","2023","Opéra de Nancy","Italien"
"Stabat Mater","Pergolèse","Alto solo","Musique sacrée","2024","Cathédrale de Nancy, Basilique de Metz","Latin"
"Petite Messe Solennelle","Rossini","Alto solo","Musique sacrée","2023-2024","Metz, Paris, Nancy","Latin"
"Requiem","Mozart","Alto solo","Musique sacrée","2023","Cathédrale de Metz","Latin"
"Oratorio de Noël","Saint-Saëns","Alto solo","Oratorio","2023","Paris, Salle Gaveau","Français"
"Mélodies","Debussy","","Mélodie","2024-2025","Récitals divers","Français"
"Chansons madécasses","Ravel","","Mélodie","2024","Festival de Nancy","Français"
"Nuits d'été","Berlioz","","Mélodie","2024","Paris, Salle Cortot","Français"
"Poèmes de Baudelaire","Debussy","","Mélodie","2023","Opéra de Metz","Français"
"Shéhérazade","Ravel","","Mélodie","2025","Festival d'Aix","Français"
